[2026-03-04 21:52:18,685][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and 4StepReplayBuffer
[2026-03-04 21:52:24,132][core][INFO] - Step: 2000, Eval mean: 203.7, Eval std: 64.34290947726875
[2026-03-04 21:52:29,525][core][INFO] - Step: 4000, Eval mean: 366.0, Eval std: 104.76545232088677
[2026-03-04 21:52:34,948][core][INFO] - Step: 6000, Eval mean: 431.7, Eval std: 90.32502421809805
[2026-03-04 21:52:40,421][core][INFO] - Step: 8000, Eval mean: 424.7, Eval std: 74.02979130052982
[2026-03-04 21:52:46,177][core][INFO] - Step: 10000, Eval mean: 465.6, Eval std: 44.55603213931869
[2026-03-04 21:52:51,856][core][INFO] - Step: 12000, Eval mean: 317.5, Eval std: 24.397745797511703
[2026-03-04 21:52:57,861][core][INFO] - Step: 14000, Eval mean: 407.7, Eval std: 44.4545835657022
[2026-03-04 21:53:03,549][core][INFO] - Step: 16000, Eval mean: 424.6, Eval std: 51.270264286426304
[2026-03-04 21:53:09,154][core][INFO] - Step: 18000, Eval mean: 344.4, Eval std: 29.408162132306057
[2026-03-04 21:53:15,185][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:21,389][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:27,448][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:33,521][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:39,734][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:46,143][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:52,505][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:53:58,993][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:05,549][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:12,264][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:19,103][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:25,961][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:32,854][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:39,803][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:47,020][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:54:54,204][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:55:07,065][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2026-03-04 21:55:10,150][__main__][INFO] - Finish training with eval mean: 500.0
